,Part1_TotalDistinctConflicts,Part2_smallest_last_NumColors,Part2_smallest_last_runtime,Part2_smallest_last_clique,MaxDegreeAtDelete_smallest_last,Part2_largest_first_NumColors,Part2_largest_first_runtime,Part2_largest_first_clique,MaxDegreeAtDelete_largest_first,Part2_random_NumColors,Part2_random_ordering_runtime,Part2_random_ordering_clique,MaxDegreeAtDelete_random
73,26638,116,0.0547635555267334,5,116,116,0.050885677337646484,4,323,126,0.04446291923522949,3,288
74,46425,174,0.12618064880371094,4,174,175,0.11480498313903809,3,423,203,0.10221409797668457,4,347
75,48877,163,0.12362432479858398,4,163,163,0.10900521278381348,5,433,184,0.10852599143981934,3,417
76,48098,138,0.1230316162109375,5,148,143,0.09743475914001465,3,434,151,0.09342575073242188,4,416
77,47186,173,0.13071250915527344,6,173,173,0.11181497573852539,4,425,195,0.10900092124938965,5,414
78,51909,163,0.13220429420471191,5,163,163,0.11096787452697754,6,437,189,0.11032533645629883,3,386
79,48493,149,0.12618279457092285,6,152,149,0.10085606575012207,5,427,172,0.09627747535705566,3,398
80,51163,184,0.13198423385620117,6,184,184,0.12403488159179688,6,435,197,0.11499381065368652,4,416
81,43292,127,0.09817934036254883,3,129,129,0.08411669731140137,4,434,140,0.07546710968017578,6,391
82,46976,178,0.12398505210876465,3,178,178,0.11617136001586914,5,430,205,0.0996100902557373,4,418
83,41047,116,0.09284806251525879,4,122,132,0.08670186996459961,4,419,138,0.06717920303344727,6,381
84,51374,188,0.13743805885314941,4,188,188,0.12664580345153809,4,435,204,0.1228034496307373,4,397
85,49112,179,0.1374835968017578,4,179,179,0.12306451797485352,6,425,197,0.1117103099822998,6,388
86,46030,144,0.10785865783691406,4,144,144,0.09410834312438965,3,435,166,0.09091854095458984,5,399
87,45122,134,0.1104118824005127,6,140,135,0.09095120429992676,5,432,160,0.08490276336669922,6,402
88,47894,154,0.11851286888122559,3,154,154,0.10111474990844727,3,435,177,0.09999942779541016,3,399
89,43508,128,0.09854912757873535,3,128,128,0.08632063865661621,4,430,148,0.07491445541381836,5,390
90,51612,179,0.13721156120300293,5,179,179,0.12167978286743164,4,433,207,0.12024879455566406,3,394
91,47021,123,0.11129426956176758,3,140,125,0.09025764465332031,5,436,155,0.08307385444641113,4,408
92,46143,141,0.12737655639648438,4,157,143,0.09618854522705078,3,430,163,0.08745884895324707,6,386
93,86373,244,0.29354047775268555,6,244,245,0.2440659999847412,3,530,266,0.25754570960998535,4,506
94,70186,199,0.19464850425720215,5,199,199,0.17814874649047852,3,539,220,0.15970635414123535,3,512
95,78559,176,0.24476981163024902,6,197,183,0.1779632568359375,4,544,206,0.1829221248626709,4,495
96,78233,243,0.25636839866638184,4,243,243,0.22629690170288086,3,542,273,0.22073745727539062,4,507
97,73408,172,0.19544100761413574,5,176,185,0.17102813720703125,6,538,189,0.14373135566711426,5,495
98,76554,207,0.23190927505493164,4,207,207,0.19013333320617676,6,542,220,0.20027375221252441,4,528
99,78430,236,0.2515108585357666,6,236,236,0.22032737731933594,3,539,259,0.21903395652770996,5,503
100,71186,194,0.19942593574523926,5,194,194,0.17103195190429688,3,535,219,0.1576402187347412,5,522
101,74482,181,0.20815038681030273,3,181,186,0.17731809616088867,4,543,195,0.16041994094848633,5,470
102,70071,197,0.1891465187072754,4,197,199,0.17600297927856445,3,543,207,0.15366673469543457,3,528
103,73290,166,0.20591235160827637,6,177,174,0.1610720157623291,3,537,186,0.1512603759765625,3,477
104,73895,199,0.20641279220581055,4,199,199,0.18712282180786133,6,542,218,0.17006993293762207,4,514
105,81198,225,0.2890005111694336,5,225,227,0.2185065746307373,6,543,253,0.23561406135559082,5,529
106,84392,243,0.2998199462890625,6,243,243,0.23479104042053223,6,545,267,0.25360631942749023,6,500
107,71429,207,0.22301626205444336,4,207,207,0.1817455291748047,6,533,218,0.17724156379699707,6,496
108,80653,223,0.2600834369659424,3,223,223,0.2071223258972168,4,540,238,0.21054697036743164,6,502
109,72086,177,0.19333672523498535,3,177,177,0.16211390495300293,5,542,195,0.1529700756072998,6,522
110,81581,235,0.24132966995239258,6,235,235,0.22314190864562988,4,545,260,0.2189958095550537,3,528
111,64602,201,0.17448759078979492,3,201,201,0.1670069694519043,5,532,225,0.13664603233337402,5,503
112,97019,224,0.3067052364349365,3,224,225,0.270186185836792,5,620,235,0.25165796279907227,4,561
